norm	norm_quant	impute	imp_quant	scale	span	test	perm	nhits	ntests	time
TMM	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:02:12
TMM	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:02:13
TMM	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:02:13
TMM	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:02:13
RLE	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:02:13
RLE	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:02:13
RLE	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	1	30	12:02:13
RLE	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:02:14
RLE	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:02:14
RLE	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:02:14
quantile	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:02:15
quantile	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:02:15
quantile	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:15
quantile	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:02:16
quantile	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:02:16
quantile	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:02:16
cpm	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:02:16
cpm	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:02:17
cpm	0.75	sample_lod	0.25	1	0.5	trend	condition	1	30	12:02:17
cpm	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:02:17
cpm	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:02:17
cpm	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:17
cpm	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:02:17
cpm	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:02:17
cpm	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:02:17
log2	0.75	sample_lod	0.01	1	0.5	voom	condition	0	30	12:02:17
log2	0.75	unif_sample_lod	0	1	0.5	voom	condition	0	30	12:02:17
log2	0.75	unif_sample_lod	0.1	1	0.5	voom	condition	0	30	12:02:18
log2	0.75	unif_sample_lod	0.25	1	0.5	voom	condition	0	30	12:02:18
log2	0.75	unif_global_lod	0	1	0.5	voom	condition	0	30	12:02:18
log2	0.75	unif_global_lod	0.1	1	0.5	voom	condition	0	30	12:02:18
log2	0.75	unif_global_lod	0.25	1	0.5	voom	condition	0	30	12:02:18
log2	0.75	sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:18
log2	0.75	unif_sample_lod	0	1	0.5	trend	condition	0	30	12:02:18
log2	0.75	unif_sample_lod	0.1	1	0.5	trend	condition	0	30	12:02:18
log2	0.75	unif_sample_lod	0.25	1	0.5	trend	condition	0	30	12:02:18
log2	0.75	unif_global_lod	0	1	0.5	trend	condition	0	30	12:02:18
log2	0.75	unif_global_lod	0.1	1	0.5	trend	condition	0	30	12:02:19
log2	0.75	unif_global_lod	0.25	1	0.5	trend	condition	0	30	12:02:19
