norm	nquant	impute	iquant	scale	span	npcs	k	test	perm	nhits	ntests	time
TMM	0.75	sample_lod	0.01	1	0.5	5	7	trend	condition	0	30	14:33:13
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	trend	condition	0	30	14:33:13
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:33:14
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:33:14
TMM	0.75	unif_global_lod	0	1	0.5	5	7	trend	condition	0	30	14:33:14
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	trend	condition	0	30	14:33:14
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	trend	condition	0	30	14:33:14
TMM	0.75	sample_lod	0.01	1	0.5	5	7	deqms	condition	0	30	14:33:15
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	deqms	condition	0	30	14:33:15
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:33:15
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:33:15
TMM	0.75	unif_global_lod	0	1	0.5	5	7	deqms	condition	0	30	14:33:16
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	deqms	condition	0	30	14:33:16
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	deqms	condition	0	30	14:33:16
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:33:17
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:33:18
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	msqrob	condition	NA	30	14:33:19
TMM	0.75	unif_global_lod	0	1	0.5	5	7	msqrob	condition	NA	30	14:33:19
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	msqrob	condition	NA	30	14:33:20
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	msqrob	condition	NA	30	14:33:21
TMM	0.75	sample_lod	0.01	1	0.5	5	7	proda	condition	0	30	14:33:22
TMM	0.75	unif_sample_lod	0	1	0.5	5	7	proda	condition	0	30	14:33:26
TMM	0.75	unif_sample_lod	0.1	1	0.5	5	7	proda	condition	0	30	14:33:27
TMM	0.75	unif_sample_lod	0.25	1	0.5	5	7	proda	condition	0	30	14:33:29
TMM	0.75	unif_global_lod	0	1	0.5	5	7	proda	condition	0	30	14:33:33
TMM	0.75	unif_global_lod	0.1	1	0.5	5	7	proda	condition	0	30	14:33:35
TMM	0.75	unif_global_lod	0.25	1	0.5	5	7	proda	condition	0	30	14:33:39
